labsampnum,result_source_key,prep_code,pedon_key,site_key,pedlabsampnum,project_key,layer_field_label_1,hzn_top,hzn_bot,InRangeTop_0_100,InRangeBot_0_100,hzn_desgn,pedoniid,upedonid,soil_name,class_type,classification_name,siteiid,usiteid,site_obsdate,latitude_decimal_degrees,longitude_decimal_degrees,country_code,country_name,state_code,state_name,county_code,county_name,mlra_code,mlra_name,ssa_code,ssa_name,note,pedobjupdate,lab_texture,ca_nh4_ph_7,ca_nh4_ph_7_method,mg_nh4_ph_7,mg_nh4_ph_7_method,k_nh4_ph_7,k_nh4_ph_7_method,total_carbon_ncs,total_carbon_ncs_method,total_nitrogen_ncs,total_nitrogen_ncs_method,organic_carbon_walkley_black,oc_walkley_black_method,ph_cacl2,ph_cacl2_method,ph_h2o,ph_h2o_method,phosphorus_bray1,phosphorus_bray1_method,phosphorus_bray2,phosphorus_bray2_method,phosphorus_mehlich_3,phosphorus_mehlich_3_method,base_sat_nh4oac_ph_7,estimated_organic_carbon,carbon_to_nitrogen_ratio,texture_lab,particle_size_method,clay_total,silt_total,sand_total,total_frag_wt_pct_gt_2_mm_ws,bulk_density_oven_dry,bulk_density_oven_dry_method
85P03285,79552,S,12319,12319,85P0636,1264,,92,117,92,100,C1,122712,85NC113020,Edneyville,taxadjunct,"Fine, mixed, active, mesic Typic Dystrochrepts",120968,S1985NC113020,4/1/1985 0:00,35.1169434,-83.5452805,US,United States,NC,North Carolina,NC113,Macon,130,Blue Ridge,NC113,"Macon County, North Carolina",NASIS updated 5/4/2020 8:17:51 AM,4/24/2016 14:12,sl,0.02,6N2e,0.02,6O2d,0.26,6Q2b,0.06,6A2d,,,0.11,6A1c,4.4,4C1a2a,5.3,4C1a2a,,,,,,,4,,,sl,3A1a1a,6.4,20.1,73.5,3,,
04N00269,196050,S,31958,31839,04N0042,4606,S03NC-097-017-3,28,94,28,94,Bt1,201017,03NC097017,Lloyd,series,"Fine, kaolinitic, thermic Rhodic Kanhapludults",203402,S2003NC097017,8/12/2003 0:00,35.7855568,-80.9347229,US,United States,NC,North Carolina,NC097,Iredell,136,Southern Piedmont,NC097,"Iredell County, North Carolina",NASIS updated 5/4/2020 7:41:33 AM,4/24/2016 14:12,cl,2.92,4B1a1a,1.38,4B1a1a,0.1,4B1a1a,0.79,4H2a,0.095,4H2a,,,5.9,4C1a2a,6.3,4C1a2a,0,4D3a1,,,,,49,0.8,8,cl,3A1a1a,36,41.6,22.4,3,,
88131-2-4,15744157,S,39927,39308,S88AL-131-2,5291,8831-2-4,33,51,33,51,Bg1,308425,88AL131002-pgm,Mantachie,taxadjunct,"Coarse-loamy, siliceous, active, acid, thermic Fluventic endoaquepts",308446,88AL131002-pgm,4/6/1988 0:00,31.8355556,-87.4375,US,United States,AL,Alabama,AL131,Wilcox,,,AL131,"Wilcox County, Alabama",NASIS updated 5/4/2020 8:46:47 AM,1/27/2014 17:14,,0.13,NK,0.3,NK,0.06,NK,,,,,,,,,4.6,NK,,,,,,,9,,,,3A1a1a,16.9,28.2,54.9,,,
FL0200503,15820326,S,51579,50853,S02_005,5460,,56,71,56,71,Bt,517100,1988-FL003-S02_005,Leefield,,"Arenic Plinthaquic Paleudults, loamy, siliceous, subactive, thermic.",528394,S1988-FL003-S02_005,4/15/2011 0:00,30.2443352,-82.1398926,US,United States,FL,Florida,FL003,Baker,153A,Atlantic Coast Flatwoods,FL003,"Baker County, Florida",NASIS updated 5/4/2020 8:44:25 AM,4/24/2016 14:26,LFS,0.85,6N2,0.24,6O2,0.12,6Q2,,,,,0.08,6A1a,5.5,8C1e,6.2,8C1a,,,,,,,,,,LFS,3A1a1a,9,5.6,,,,
MU061675,15792058,S,47231,46517,M9861344,5429,,48,66,48,66,Bt2,1367494,1998MO203044M,Portia,taxadjunct,"Fine-loamy, siliceous, active, mesic Fragic Paleudalfs",97329,1998MO203044M,6/1/1998 0:00,37.3997583,-91.4688778,US,United States,MO,Missouri,MO203,Shannon,116A,Ozark Highland,MO203,"Shannon County, Missouri",NASIS updated 5/4/2020 8:42:18 AM,10/18/2019 14:35,sicl,1.2,4B1a1,2.7,4B1a1,0.3,4B1a1,,,,,0.2,6A2d,3.8,8C1e,4.5,8C1a,,,,,,,29,,,sicl,3A1a1a,28.3,55.6,16.1,,,
MU040465,15774783,S,44589,43875,M9101979,5429,,0,20,0,20,A1,474290,1991MO019079,Moko,,,478248,1991MO019079,1/25/2011 0:00,38.9672203,-92.3450012,US,United States,MO,Missouri,MO019,Boone,,,,,NASIS updated 5/4/2020 8:38:02 AM,4/30/2014 11:25,cl,59,4B1a1,2.7,4B1a1,0.7,4B1a1,,,,,5.3,6A2d,7.4,8C1e,7.5,8C1a,,,,,,,100,,,cl,3A1a1a,28.4,39,32.6,,,
18N06224,15946322,S,74962,135558,18N2057,6195,S2018AL023020-3,32,60,32,60,Bt1,1296902,S2018AL023020,Lenoir,series,"Fine, mixed, semiactive, thermic Aeric Paleaquults",1408286,S2018AL023020,7/21/2018 0:00,31.8247444,-88.1926222,US,United States,AL,Alabama,AL023,Choctaw,133A,Southern Coastal Plain,AL023,"Choctaw County, Alabama",NASIS updated 5/4/2020 8:00:20 AM,10/12/2018 21:40,sicl,18.24,4B1a1a,3,4B1a1a,0.49,4B1a1a,1.14,4H2a,0.126,4H2a,,,4.8,4C1a2a,5.6,4C1a2a,,,,,23.3,4D6a1,,1.1,9,sicl,3A1a1a,39.7,48.6,11.7,0,1.59,DbWR1
MU056516,15792704,S,47327,46613,M9617934,5429,,33,48,33,48,Bt1,95840,1996MO179034M,Clarksville,taxadjunct,"Clayey-skeletal, mixed, semiactive, mesic Typic Paleudults",97071,1996MO179034M,6/25/1996 0:00,37.4775028,-90.9430806,US,United States,MO,Missouri,MO179,Reynolds,116A,Ozark Highland,MO179,"Reynolds County, Missouri",NASIS updated 5/4/2020 8:41:11 AM,7/25/2019 13:05,sil,0.5,4B1a1,0.4,4B1a1,0.1,4B1a1,,,,,0.3,6A2d,4.4,8C1e,5,8C1a,,,,,,,27,,,sil,3A1a1a,12,57,31,,,
MU045636,15790436,S,46993,46279,M9212308,5429,,0,8,0,8,A,97710,1992MO123008M,Clarksville,taxadjunct,"Loamy-skeletal, siliceous, semiactive, mesic Aquic Paleudalfs",97948,1992MO123008M,7/14/1992 0:00,37.320137,-90.1566086,US,United States,MO,Missouri,MO123,Madison,116A,Ozark Highland,MO123,"Madison County, Missouri",NASIS updated 5/4/2020 8:39:03 AM,8/9/2019 11:20,sil,9.6,4B1a1,1.5,4B1a1,0.3,4B1a1,,,,,,,5.5,8C1e,5.8,8C1a,,,,,,,,,,sil,3A1a1a,5.3,64.4,30.3,,,
94123-1-4,15744055,S,39909,39290,S94AL-123-1,5284,9423-1-4,56,66,56,66,Bt3,308408,94AL123001-pgm,Pacolet,taxadjunct,"Fine, kaolinitic, thermic Typic hapludults",308429,94AL123001-pgm,6/21/1994 0:00,32.8588889,-85.685,US,United States,AL,Alabama,AL123,Tallapoosa,,,AL123,"Tallapoosa County, Alabama",NASIS updated 5/4/2020 8:47:00 AM,9/3/2008 12:44,,0.05,NK,0.84,NK,0.19,NK,,,,,,,,,5.3,NK,,,,,,,12,,,,3A1a1a,45.1,17.2,37.7,,,
